case	method	iteration	relative_true_residual
weak-chain-depth-5	diagonal	19	3.002658120474e-9
weak-chain-depth-5	diagonal	20	9.082580608051e-10
weak-chain-depth-5	diagonal	21	2.738912467424e-10
weak-chain-depth-5	diagonal	22	3.519643063239e-11
weak-chain-depth-5	symmetric-map	0	1.000000000000e0
weak-chain-depth-5	symmetric-map	1	4.016489732659e-2
weak-chain-depth-5	symmetric-map	2	6.560174049165e-3
weak-chain-depth-5	symmetric-map	3	1.210575919212e-2
weak-chain-depth-5	symmetric-map	4	3.877554988938e-3
weak-chain-depth-5	symmetric-map	5	5.855107530079e-3
weak-chain-depth-5	symmetric-map	6	8.876294375190e-4
weak-chain-depth-5	symmetric-map	7	2.304175958760e-5
weak-chain-depth-5	symmetric-map	8	4.010443620594e-7
weak-chain-depth-5	symmetric-map	9	5.270396996675e-9
weak-chain-depth-5	symmetric-map	10	7.505826799225e-11
weak-chain-depth-5	pair-cmg	0	1.000000000000e0
weak-chain-depth-5	pair-cmg	1	2.100219258235e-1
weak-chain-depth-5	pair-cmg	2	3.322267320972e-2
weak-chain-depth-5	pair-cmg	3	4.167842210532e-3
