set	case	family	requested_seed	actual_seed	structural_skips	method	accepted	structural_admissible	selected_source	structural_baseline_selected	exact_oracle_partition	oracle_pair_recall	wrong_pair_count	fine_dimension	fine_tuples	coarse_dimension	coarse_tuples	coarse_dimension_ratio	tuple_reduction	two_level_tuple_complexity	compatible_diagonal_factor	compatible_energy_factor	baseline_map_condition	oracle_two_grid_condition	candidate_condition	oracle_improvement_recovered	pcg_iterations	pcg_converged	pcg_final_relative_residual	pcg_gramian_applications	pcg_preconditioner_applications	bootstrap_rounds	bootstrap_witnesses	repair_splits	candidate_pairs_generated	candidate_pairs_retained	retained_test_vector_bytes	retained_report_bytes_estimate	stop_reason
holdout	nearly-nested-cover-514	nearly-nested	514	514	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.828664221393e-1	8.222921556803e-1	9.170673414654e1	NA	2.126378363185e0	NA	8	true	3.683434663322e-11	16	8	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-514	nearly-nested	514	514	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	9.170673414654e1	2.126378363185e0	9.170673414654e1	0.000000000000e0	19	true	7.822707104465e-13	38	19	0	0	0	0	0	0	0	baseline
holdout	nearly-nested-cover-514	nearly-nested	514	514	0	one-shot-pair-neighborhood	false	true	structural-baseline	false	false	2.777777777778e-1	13	36	144	18	92	5.000000000000e-1	3.611111111111e-1	1.638888888889e0	8.864443347446e-1	8.191838917524e-1	9.170673414654e1	2.126378363185e0	3.878846884943e1	5.907351543132e-1	12	true	8.624945278719e-13	24	12	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-514	nearly-nested	514	514	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	113	5.000000000000e-1	2.152777777778e-1	1.784722222222e0	9.145866538859e-1	8.411490218008e-1	9.170673414654e1	2.126378363185e0	4.390432686872e1	5.336260038242e-1	14	true	5.984342753598e-12	28	14	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-514	nearly-nested	514	514	0	bootstrap-final	true	true	witness-split-repair	false	false	0.000000000000e0	17	36	144	19	110	5.277777777778e-1	2.361111111111e-1	1.763888888889e0	8.427211119790e-1	8.014181253068e-1	9.170673414654e1	2.126378363185e0	3.515570379583e1	6.312882981563e-1	14	true	4.914705793016e-12	28	14	5	4	1	990	977	2304	102464	AcceptedAfterSplitRepair { witnesses: 4, splits: 1 }
holdout	nearly-nested-cover-515	nearly-nested	515	515	0	oracle	true	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.307569286248e-1	7.716307833898e-1	9.058732694988e1	NA	1.795913162220e0	NA	8	true	7.294597981897e-11	16	8	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-515	nearly-nested	515	515	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	9.058732694988e1	1.795913162220e0	9.058732694988e1	0.000000000000e0	19	true	2.552174326140e-13	38	19	0	0	0	0	0	0	0	baseline
holdout	nearly-nested-cover-515	nearly-nested	515	515	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	1.111111111111e-1	15	36	144	19	96	5.277777777778e-1	3.333333333333e-1	1.666666666667e0	8.000290188648e-1	7.530991984567e-1	9.058732694988e1	1.795913162220e0	3.973302150195e1	5.727389989481e-1	14	true	8.569476406672e-11	28	14	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-515	nearly-nested	515	515	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	106	5.000000000000e-1	2.638888888889e-1	1.736111111111e0	8.508620048513e-1	7.888582809575e-1	9.058732694988e1	1.795913162220e0	4.118774095067e1	5.563554390219e-1	15	true	4.739480451410e-14	30	15	0	0	0	0	0	0	0	
holdout	nearly-nested-cover-515	nearly-nested	515	515	0	bootstrap-final	true	true	bootstrap-witness-rematching	false	false	5.555555555556e-2	17	36	144	18	102	5.000000000000e-1	2.916666666667e-1	1.708333333333e0	8.389387001757e-1	7.751838203499e-1	9.058732694988e1	1.795913162220e0	4.323266470273e1	5.333247915209e-1	15	true	6.495293247059e-14	30	15	4	3	0	792	774	2016	64040	AcceptedAfterBootstrap { witnesses: 3 }
holdout	weak-chain-cover-516	weak-chain	516	516	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	42	18	21	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	9.818826258120e-1	8.335489107530e-1	3.269210728299e2	NA	1.625937464918e2	NA	18	true	2.526565782278e-11	36	18	0	0	0	0	0	0	0	
holdout	weak-chain-cover-516	weak-chain	516	516	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	42	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	3.269210728299e2	1.625937464918e2	3.269210728299e2	0.000000000000e0	28	true	5.813157070730e-11	56	28	0	0	0	0	0	0	0	baseline
holdout	weak-chain-cover-516	weak-chain	516	516	0	one-shot-pair-neighborhood	false	true	structural-baseline	false	false	5.555555555556e-2	14	36	42	21	30	5.833333333333e-1	2.857142857143e-1	1.714285714286e0	9.606779169462e-1	8.598175451495e-1	3.269210728299e2	1.625937464918e2	4.902033488180e1	1.691141358780e0	18	true	1.322958952968e-12	36	18	0	0	0	0	0	0	0	
holdout	weak-chain-cover-516	weak-chain	516	516	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	42	18	39	5.000000000000e-1	7.142857142857e-2	1.928571428571e0	9.689012826555e-1	8.463411682590e-1	3.269210728299e2	1.625937464918e2	1.232809747180e2	1.239234536640e0	22	true	4.986927298644e-12	44	22	0	0	0	0	0	0	0	
holdout	weak-chain-cover-516	weak-chain	516	516	0	bootstrap-final	false	false	bootstrap-witness-rematching	false	false	1.111111111111e-1	16	36	42	18	42	5.000000000000e-1	0.000000000000e0	2.000000000000e0	NA	NA	3.269210728299e2	1.625937464918e2	NA	NA	NA	NA	NA	NA	NA	4	3	0	935	867	2304	76848	SplitRepairRejected
holdout	planted-communities-cover-517	planted-communities	517	517	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	24	128	12	64	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	9.083567791827e-1	8.217732455584e-1	2.470137046282e1	NA	3.827067655792e0	NA	7	true	2.349315900227e-14	14	7	0	0	0	0	0	0	0	
holdout	planted-communities-cover-517	planted-communities	517	517	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	24	128	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	2.470137046282e1	3.827067655792e0	2.470137046282e1	0.000000000000e0	12	true	1.332405201044e-12	24	12	0	0	0	0	0	0	0	baseline
holdout	planted-communities-cover-517	planted-communities	517	517	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	5.000000000000e-1	6	24	128	12	60	5.000000000000e-1	5.312500000000e-1	1.468750000000e0	8.068125450925e-1	7.806518014763e-1	2.470137046282e1	3.827067655792e0	2.352881332213e0	1.070622062792e0	6	true	4.255618850856e-11	12	6	0	0	0	0	0	0	0	
holdout	planted-communities-cover-517	planted-communities	517	517	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	1.666666666667e-1	10	24	128	12	61	5.000000000000e-1	5.234375000000e-1	1.476562500000e0	7.841100917689e-1	7.441070808185e-1	2.470137046282e1	3.827067655792e0	7.299612782718e0	8.336449768394e-1	9	true	6.956786883954e-15	18	9	0	0	0	0	0	0	0	
holdout	planted-communities-cover-517	planted-communities	517	517	0	bootstrap-final	true	true	relaxed-signature-initial	false	false	1.666666666667e-1	10	24	128	12	61	5.000000000000e-1	5.234375000000e-1	1.476562500000e0	7.841100917689e-1	7.441070808185e-1	2.470137046282e1	3.827067655792e0	7.299612782718e0	8.336449768394e-1	9	true	6.956786883954e-15	18	9	1	0	0	84	82	768	23312	AcceptedInitial
holdout	hub-power-law-cover-518	hub-power-law	518	518	0	oracle	true	true	oracle-reference	false	true	1.000000000000e0	0	36	232	18	116	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	7.353211900076e-1	7.161172578731e-1	1.413546850167e0	NA	1.091242024239e0	NA	5	true	2.391715573045e-11	10	5	0	0	0	0	0	0	0	
holdout	hub-power-law-cover-518	hub-power-law	518	518	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	232	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	1.413546850167e0	1.091242024239e0	1.413546850167e0	0.000000000000e0	9	true	1.683225958827e-12	18	9	0	0	0	0	0	0	0	baseline
holdout	hub-power-law-cover-518	hub-power-law	518	518	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	3.333333333333e-1	12	36	232	18	129	5.000000000000e-1	4.439655172414e-1	1.556034482759e0	6.686864460138e-1	6.534306775503e-1	1.413546850167e0	1.091242024239e0	1.060032725208e0	1.096831621867e0	5	true	1.454430154087e-12	10	5	0	0	0	0	0	0	0	
holdout	hub-power-law-cover-518	hub-power-law	518	518	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	1.666666666667e-1	15	36	232	18	130	5.000000000000e-1	4.396551724138e-1	1.560344827586e0	6.205153828953e-1	6.106222709627e-1	1.413546850167e0	1.091242024239e0	1.054208928347e0	1.114900842036e0	5	true	9.557103985770e-13	10	5	0	0	0	0	0	0	0	
holdout	hub-power-law-cover-518	hub-power-law	518	518	0	bootstrap-final	true	true	relaxed-signature-initial	false	false	1.666666666667e-1	15	36	232	18	130	5.000000000000e-1	4.396551724138e-1	1.560344827586e0	6.205153828953e-1	6.106222709627e-1	1.413546850167e0	1.091242024239e0	1.054208928347e0	1.114900842036e0	5	true	9.557103985770e-13	10	5	1	0	0	198	155	1152	25616	AcceptedInitial
